Month,Year,Rainfall
NOV,1922,30
DEC,1922,0.1
JAN,1923,0.2
FEB,1923,66.3
MAR,1923,9.6
APR,1923,17.1
MAY,1923,34.4
JUN,1923,106.7
JUL,1923,288.7
AUG,1923,333
SEP,1923,210.5
OCT,1923,112.6
NOV,1923,74.8
DEC,1923,4.7
JAN,1924,30.2
FEB,1924,5.9
MAR,1924,1.3
APR,1924,15.7
MAY,1924,83.9
JUN,1924,95.3
JUL,1924,228.5
AUG,1924,312.4
SEP,1924,232
OCT,1924,106
NOV,1924,152.3
DEC,1924,0
JAN,1925,2
FEB,1925,0
MAR,1925,6
APR,1925,52.2
MAY,1925,111.8
JUN,1925,353.5
JUL,1925,433.7
AUG,1925,429.9
SEP,1925,201.5
OCT,1925,201.8
NOV,1925,4.8
DEC,1925,10.7
JAN,1926,34.8
FEB,1926,11.3
MAR,1926,83.2
APR,1926,34.1
MAY,1926,59.2
JUN,1926,71.7
JUL,1926,296.5
AUG,1926,565.3
SEP,1926,288.9
OCT,1926,88.1
NOV,1926,0
DEC,1926,2.6
JAN,1927,3
FEB,1927,27.2
MAR,1927,8.1
APR,1927,12.6
MAY,1927,51.6
JUN,1927,241.8
JUL,1927,454.5
AUG,1927,431.5
SEP,1927,181
OCT,1927,92.2
NOV,1927,22.1
DEC,1927,0
JAN,1928,4.6
FEB,1928,4.6
MAR,1928,6.3
APR,1928,62.8
MAY,1928,68.8
JUN,1928,266.7
JUL,1928,468.8
AUG,1928,266.1
SEP,1928,226.5
OCT,1928,208
NOV,1928,1.7
DEC,1928,0.6
JAN,1929,18
FEB,1929,18.8
MAR,1929,4.5
APR,1929,25
MAY,1929,37.8
JUN,1929,193.4
JUL,1929,525
AUG,1929,423.4
SEP,1929,190.9
OCT,1929,185.7
NOV,1929,0
DEC,1929,15.3
JAN,1930,0.2
FEB,1930,12.1
MAR,1930,9.9
APR,1930,33.4
MAY,1930,38
JUN,1930,177.5
JUL,1930,357.5
AUG,1930,333.7
SEP,1930,287.5
OCT,1930,50.5
NOV,1930,143.1
DEC,1930,2.7
JAN,1931,7.4
FEB,1931,36.8
MAR,1931,20.7
APR,1931,18.6
MAY,1931,44.3
JUN,1931,108
JUL,1931,239.9
AUG,1931,511
SEP,1931,197
OCT,1931,233.4
NOV,1931,59.5
DEC,1931,0.4
JAN,1932,0.2
FEB,1932,34
MAR,1932,9.9
APR,1932,26.9
MAY,1932,67.4
JUN,1932,116.5
JUL,1932,474.7
AUG,1932,271
SEP,1932,246.3
OCT,1932,57.3
NOV,1932,136
DEC,1932,0
JAN,1933,17.8
FEB,1933,57.4
MAR,1933,7.9
APR,1933,25.5
MAY,1933,136.5
JUN,1933,288.6
JUL,1933,404.8
AUG,1933,448.6
SEP,1933,294.7
OCT,1933,138.1
NOV,1933,20
DEC,1933,11.1
JAN,1934,0.1
FEB,1934,1.4
MAR,1934,4.2
APR,1934,11
MAY,1934,21
JUN,1934,230.6
JUL,1934,371.8
AUG,1934,425.4
SEP,1934,300.1
OCT,1934,102.6
NOV,1934,17.4
DEC,1934,3.3
JAN,1935,1.1
